connectivity	average probability of stability to perturbations	average probability of stability
3	0.4989	0.1261
4	0.5635	0.1241
5	0.543139	0.102761
6	0.582253	0.105896
7	0.604133	0.105492
8	0.618467	0.1033
9	0.6376	0.1061
