connectivity	stability	resampling	cycle	distance
3.0	0.1261	0.4989	0.0	3.0
4.0	0.127	0.6223	0.0	2.0
4.0	0.1212	0.5047	1.0	4.0
5.0	0.1245	0.7023	0.0	1.0
5.0	0.1117	0.5541	1.0	3.0
5.0	0.0827	0.4363	2.0	5.0
6.0	0.124	0.7512	0.0	0.0
6.0	0.1149	0.6417	1.0	2.0
6.0	0.1093	0.551	2.0	4.0
6.0	0.0797	0.4774	3.0	4.0
7.0	0.1192	0.7174	1.0	1.0
7.0	0.1136	0.6374	2.0	3.0
7.0	0.1053	0.5776	3.0	3.0
7.0	0.0682	0.4749	5.0	5.0
8.0	0.1086	0.639	3.0	2.0
8.0	0.0927	0.5774	5.0	4.0
9.0	0.1061	0.6376	5.0	3.0
