connectivity	stability	resampling	cycle	distance
3.0	0.1261	0.4989	0.0	3.0
4.0	0.1212	0.5047	1.0	4.0
4.0	0.127	0.6223	0.0	2.0
5.0	0.0946	0.5052	1.0	3.0
5.0	0.1277	0.4943	2.0	5.0
5.0	0.1245	0.7023	0.0	1.0
6.0	0.1027	0.5289	2.0	4.0
6.0	0.106	0.5937	2.0	2.0
6.0	0.124	0.7512	0.0	0.0
7.0	0.1108	0.601	3.0	3.0
7.0	0.0682	0.4749	5.0	5.0
7.0	0.1123	0.6722	1.0	1.0
8.0	0.0927	0.5774	5.0	4.0
8.0	0.1086	0.639	3.0	2.0
9.0	0.1061	0.6376	5.0	3.0
